,w1,w2,freq,w1_freq,w1_ratio,w2_freq,w2_ratio,jaccard
0,事項,数学的活動,1,1,0.022222222222222223,1,0.022222222222222223,1.0
825,身近,運動,1,1,0.022222222222222223,1,0.022222222222222223,1.0
1064,付け,見当,1,1,0.022222222222222223,1,0.022222222222222223,1.0
406,他方,態度,1,1,0.022222222222222223,1,0.022222222222222223,1.0
1061,放物線,見当,1,1,0.022222222222222223,1,0.022222222222222223,1.0
1055,点,速度,1,1,0.022222222222222223,1,0.022222222222222223,1.0
1051,理由,速度,1,1,0.022222222222222223,1,0.022222222222222223,1.0
1049,時速,速度,1,1,0.022222222222222223,1,0.022222222222222223,1.0
1046,付け,速度,1,1,0.022222222222222223,1,0.022222222222222223,1.0
1044,データ,速度,1,1,0.022222222222222223,1,0.022222222222222223,1.0
1043,放物線,速度,1,1,0.022222222222222223,1,0.022222222222222223,1.0
1038,見当,速度,1,1,0.022222222222222223,1,0.022222222222222223,1.0
1005,予測,活動,2,2,0.044444444444444446,2,0.044444444444444446,1.0
229,x^2,比,1,1,0.022222222222222223,1,0.022222222222222223,1.0
978,停止距離,点,1,1,0.022222222222222223,1,0.022222222222222223,1.0
974,停止距離,理由,1,1,0.022222222222222223,1,0.022222222222222223,1.0
972,停止距離,時速,1,1,0.022222222222222223,1,0.022222222222222223,1.0
969,付け,停止距離,1,1,0.022222222222222223,1,0.022222222222222223,1.0
967,データ,停止距離,1,1,0.022222222222222223,1,0.022222222222222223,1.0
966,停止距離,放物線,1,1,0.022222222222222223,1,0.022222222222222223,1.0
961,停止距離,見当,1,1,0.022222222222222223,1,0.022222222222222223,1.0
960,停止距離,速度,1,1,0.022222222222222223,1,0.022222222222222223,1.0
913,スピード,点,1,1,0.022222222222222223,1,0.022222222222222223,1.0
909,スピード,理由,1,1,0.022222222222222223,1,0.022222222222222223,1.0
907,スピード,時速,1,1,0.022222222222222223,1,0.022222222222222223,1.0
904,スピード,付け,1,1,0.022222222222222223,1,0.022222222222222223,1.0
902,スピード,データ,1,1,0.022222222222222223,1,0.022222222222222223,1.0
901,スピード,放物線,1,1,0.022222222222222223,1,0.022222222222222223,1.0
896,スピード,見当,1,1,0.022222222222222223,1,0.022222222222222223,1.0
895,スピード,速度,1,1,0.022222222222222223,1,0.022222222222222223,1.0
891,スピード,停止距離,1,1,0.022222222222222223,1,0.022222222222222223,1.0
197,m^2倍,m倍,1,1,0.022222222222222223,1,0.022222222222222223,1.0
1067,時速,見当,1,1,0.022222222222222223,1,0.022222222222222223,1.0
1069,理由,見当,1,1,0.022222222222222223,1,0.022222222222222223,1.0
1166,付け,点,1,1,0.022222222222222223,1,0.022222222222222223,1.0
1216,原因,検討,1,1,0.022222222222222223,1,0.022222222222222223,1.0
1215,検討,食い違い,1,1,0.022222222222222223,1,0.022222222222222223,1.0
134,既習,社会,1,1,0.022222222222222223,1,0.022222222222222223,1.0
1214,工夫,検討,1,1,0.022222222222222223,1,0.022222222222222223,1.0
137,既習,豊か,1,1,0.022222222222222223,1,0.022222222222222223,1.0
138,既習,日常,1,1,0.022222222222222223,1,0.022222222222222223,1.0
140,内容,既習,1,1,0.022222222222222223,1,0.022222222222222223,1.0
1196,点,理由,1,1,0.022222222222222223,1,0.022222222222222223,1.0
145,社会,豊か,1,1,0.022222222222222223,1,0.022222222222222223,1.0
146,日常,社会,1,1,0.022222222222222223,1,0.022222222222222223,1.0
148,内容,社会,1,1,0.022222222222222223,1,0.022222222222222223,1.0
1186,時速,点,1,1,0.022222222222222223,1,0.022222222222222223,1.0
1182,時速,理由,1,1,0.022222222222222223,1,0.022222222222222223,1.0
1162,付け,理由,1,1,0.022222222222222223,1,0.022222222222222223,1.0
1073,点,見当,1,1,0.022222222222222223,1,0.022222222222222223,1.0
1160,付け,時速,1,1,0.022222222222222223,1,0.022222222222222223,1.0
1149,データ,点,1,1,0.022222222222222223,1,0.022222222222222223,1.0
163,日常,豊か,1,1,0.022222222222222223,1,0.022222222222222223,1.0
1145,データ,理由,1,1,0.022222222222222223,1,0.022222222222222223,1.0
165,内容,豊か,1,1,0.022222222222222223,1,0.022222222222222223,1.0
1143,データ,時速,1,1,0.022222222222222223,1,0.022222222222222223,1.0
1140,データ,付け,1,1,0.022222222222222223,1,0.022222222222222223,1.0
169,内容,日常,1,1,0.022222222222222223,1,0.022222222222222223,1.0
1137,放物線,点,1,1,0.022222222222222223,1,0.022222222222222223,1.0
1133,放物線,理由,1,1,0.022222222222222223,1,0.022222222222222223,1.0
1131,放物線,時速,1,1,0.022222222222222223,1,0.022222222222222223,1.0
1128,付け,放物線,1,1,0.022222222222222223,1,0.022222222222222223,1.0
1126,データ,放物線,1,1,0.022222222222222223,1,0.022222222222222223,1.0
872,単純,理想,1,1,0.022222222222222223,1,0.022222222222222223,1.0
823,形,運動,1,1,0.022222222222222223,1,0.022222222222222223,1.0
1218,検討,結果,1,1,0.022222222222222223,1,0.022222222222222223,1.0
822,形,身近,1,1,0.022222222222222223,1,0.022222222222222223,1.0
633,仕方,役割,1,1,0.022222222222222223,1,0.022222222222222223,1.0
574,方向,符号,1,1,0.022222222222222223,1,0.022222222222222223,1.0
