,w1,w2,freq,w1_freq,w1_ratio,w2_freq,w2_ratio,jaccard
1752,x-2y+6=0,変形,1,1,0.005405405405405406,1,0.005405405405405406,1.0
168,探究,生活,1,1,0.005405405405405406,1,0.005405405405405406,1.0
2376,図形,頂点,1,1,0.005405405405405406,1,0.005405405405405406,1.0
2377,和,図形,1,1,0.005405405405405406,1,0.005405405405405406,1.0
3143,付け,時速,1,1,0.005405405405405406,1,0.005405405405405406,1.0
2378,内角,図形,1,1,0.005405405405405406,1,0.005405405405405406,1.0
2379,図形,多角形,1,1,0.005405405405405406,1,0.005405405405405406,1.0
3138,停止距離,時速,1,1,0.005405405405405406,1,0.005405405405405406,1.0
3133,スピード,時速,1,1,0.005405405405405406,1,0.005405405405405406,1.0
3132,放物線,時速,1,1,0.005405405405405406,1,0.005405405405405406,1.0
3130,時速,理由,1,1,0.005405405405405406,1,0.005405405405405406,1.0
3123,付け,速度,1,1,0.005405405405405406,1,0.005405405405405406,1.0
2390,n角形,三角形,1,1,0.005405405405405406,1,0.005405405405405406,1.0
3118,停止距離,速度,1,1,0.005405405405405406,1,0.005405405405405406,1.0
2391,三角形,頂点,1,1,0.005405405405405406,1,0.005405405405405406,1.0
2392,三角形,和,1,1,0.005405405405405406,1,0.005405405405405406,1.0
3113,スピード,速度,1,1,0.005405405405405406,1,0.005405405405405406,1.0
3112,放物線,速度,1,1,0.005405405405405406,1,0.005405405405405406,1.0
3110,理由,速度,1,1,0.005405405405405406,1,0.005405405405405406,1.0
3109,時速,速度,1,1,0.005405405405405406,1,0.005405405405405406,1.0
2393,三角形,内角,1,1,0.005405405405405406,1,0.005405405405405406,1.0
2394,三角形,多角形,1,1,0.005405405405405406,1,0.005405405405405406,1.0
2398,n角形,頂点,1,1,0.005405405405405406,1,0.005405405405405406,1.0
2399,n角形,和,1,1,0.005405405405405406,1,0.005405405405405406,1.0
2400,n角形,内角,1,1,0.005405405405405406,1,0.005405405405405406,1.0
3151,放物線,理由,1,1,0.005405405405405406,1,0.005405405405405406,1.0
3152,スピード,理由,1,1,0.005405405405405406,1,0.005405405405405406,1.0
550,1/2倍,1/3倍,2,2,0.010810810810810811,2,0.010810810810810811,1.0
2375,n角形,図形,1,1,0.005405405405405406,1,0.005405405405405406,1.0
535,1/3倍,量,2,2,0.010810810810810811,2,0.010810810810810811,1.0
2187,一直線,熱量,1,1,0.005405405405405406,1,0.005405405405405406,1.0
2189,加熱,熱量,1,1,0.005405405405405406,1,0.005405405405405406,1.0
2212,一直線,加熱,1,1,0.005405405405405406,1,0.005405405405405406,1.0
3248,付け,停止距離,1,1,0.005405405405405406,1,0.005405405405405406,1.0
2928,形,運動,1,1,0.005405405405405406,1,0.005405405405405406,1.0
2339,原因,工夫,2,2,0.010810810810810811,2,0.010810810810810811,1.0
3197,スピード,停止距離,1,1,0.005405405405405406,1,0.005405405405405406,1.0
2362,n,図形,1,1,0.005405405405405406,1,0.005405405405405406,1.0
3186,付け,放物線,1,1,0.005405405405405406,1,0.005405405405405406,1.0
2364,n,三角形,1,1,0.005405405405405406,1,0.005405405405405406,1.0
3181,停止距離,放物線,1,1,0.005405405405405406,1,0.005405405405405406,1.0
2365,n,n角形,1,1,0.005405405405405406,1,0.005405405405405406,1.0
2366,n,頂点,1,1,0.005405405405405406,1,0.005405405405405406,1.0
3176,スピード,放物線,1,1,0.005405405405405406,1,0.005405405405405406,1.0
2367,n,和,1,1,0.005405405405405406,1,0.005405405405405406,1.0
2368,n,内角,1,1,0.005405405405405406,1,0.005405405405405406,1.0
3162,付け,理由,1,1,0.005405405405405406,1,0.005405405405405406,1.0
2369,n,多角形,1,1,0.005405405405405406,1,0.005405405405405406,1.0
3157,停止距離,理由,1,1,0.005405405405405406,1,0.005405405405405406,1.0
163,基礎,探究,1,1,0.005405405405405406,1,0.005405405405405406,1.0
2374,三角形,図形,1,1,0.005405405405405406,1,0.005405405405405406,1.0
165,基礎,生活,1,1,0.005405405405405406,1,0.005405405405405406,1.0
2401,n角形,多角形,1,1,0.005405405405405406,1,0.005405405405405406,1.0
2405,和,頂点,1,1,0.005405405405405406,1,0.005405405405405406,1.0
2406,内角,頂点,1,1,0.005405405405405406,1,0.005405405405405406,1.0
2407,多角形,頂点,1,1,0.005405405405405406,1,0.005405405405405406,1.0
243,例,初期,1,1,0.005405405405405406,1,0.005405405405405406,1.0
2967,噴水,運動,1,1,0.005405405405405406,1,0.005405405405405406,1.0
2966,パラボラアンテナ,噴水,1,1,0.005405405405405406,1,0.005405405405405406,1.0
2965,噴水,斜面,1,1,0.005405405405405406,1,0.005405405405405406,1.0
2648,態度,経験,1,1,0.005405405405405406,1,0.005405405405405406,1.0
2651,経験,身の回り,1,1,0.005405405405405406,1,0.005405405405405406,1.0
251,初期,段階,1,1,0.005405405405405406,1,0.005405405405405406,1.0
342,方法,順序,1,1,0.005405405405405406,1,0.005405405405405406,1.0
254,初期,確認,1,1,0.005405405405405406,1,0.005405405405405406,1.0
2661,態度,身の回り,1,1,0.005405405405405406,1,0.005405405405405406,1.0
2957,制動距離,車,2,2,0.010810810810810811,2,0.010810810810810811,1.0
2756,符号,絶対値,1,1,0.005405405405405406,1,0.005405405405405406,1.0
2757,具合,符号,1,1,0.005405405405405406,1,0.005405405405405406,1.0
2761,方向,符号,1,1,0.005405405405405406,1,0.005405405405405406,1.0
2764,具合,絶対値,1,1,0.005405405405405406,1,0.005405405405405406,1.0
2768,方向,絶対値,1,1,0.005405405405405406,1,0.005405405405405406,1.0
2774,具合,方向,1,1,0.005405405405405406,1,0.005405405405405406,1.0
2844,役割,見方,1,1,0.005405405405405406,1,0.005405405405405406,1.0
269,例,段階,1,1,0.005405405405405406,1,0.005405405405405406,1.0
307,段階,確認,1,1,0.005405405405405406,1,0.005405405405405406,1.0
272,例,確認,1,1,0.005405405405405406,1,0.005405405405405406,1.0
2922,噴水,形,1,1,0.005405405405405406,1,0.005405405405405406,1.0
2926,形,斜面,1,1,0.005405405405405406,1,0.005405405405405406,1.0
2637,料金,機関,1,1,0.005405405405405406,1,0.005405405405405406,1.0
348,独立変数,順序,1,1,0.005405405405405406,1,0.005405405405405406,1.0
2633,交通,機関,1,1,0.005405405405405406,1,0.005405405405405406,1.0
3066,見当,速度,1,1,0.005405405405405406,1,0.005405405405405406,1.0
2411,内角,和,1,1,0.005405405405405406,1,0.005405405405405406,1.0
2412,和,多角形,1,1,0.005405405405405406,1,0.005405405405405406,1.0
2416,内角,多角形,1,1,0.005405405405405406,1,0.005405405405405406,1.0
3081,付け,見当,1,1,0.005405405405405406,1,0.005405405405405406,1.0
3076,停止距離,見当,1,1,0.005405405405405406,1,0.005405405405405406,1.0
2457,実感,広がり,2,2,0.010810810810810811,2,0.010810810810810811,1.0
3071,スピード,見当,1,1,0.005405405405405406,1,0.005405405405405406,1.0
3070,放物線,見当,1,1,0.005405405405405406,1,0.005405405405405406,1.0
3068,理由,見当,1,1,0.005405405405405406,1,0.005405405405405406,1.0
3067,時速,見当,1,1,0.005405405405405406,1,0.005405405405405406,1.0
2564,仕組み,郵便,1,1,0.005405405405405406,1,0.005405405405405406,1.0
2632,交通,料金,1,1,0.005405405405405406,1,0.005405405405405406,1.0
2571,交通,仕組み,1,1,0.005405405405405406,1,0.005405405405405406,1.0
2572,仕組み,料金,1,1,0.005405405405405406,1,0.005405405405405406,1.0
2573,仕組み,機関,1,1,0.005405405405405406,1,0.005405405405405406,1.0
2595,交通,郵便,1,1,0.005405405405405406,1,0.005405405405405406,1.0
2596,料金,郵便,1,1,0.005405405405405406,1,0.005405405405405406,1.0
2597,機関,郵便,1,1,0.005405405405405406,1,0.005405405405405406,1.0
357,方法,独立変数,1,1,0.005405405405405406,1,0.005405405405405406,1.0
2982,パラボラアンテナ,運動,1,1,0.005405405405405406,1,0.005405405405405406,1.0
2981,斜面,運動,1,1,0.005405405405405406,1,0.005405405405405406,1.0
2980,パラボラアンテナ,斜面,1,1,0.005405405405405406,1,0.005405405405405406,1.0
536,1/2倍,量,2,2,0.010810810810810811,2,0.010810810810810811,1.0
3202,スピード,付け,1,1,0.005405405405405406,1,0.005405405405405406,1.0
2927,パラボラアンテナ,形,1,1,0.005405405405405406,1,0.005405405405405406,1.0
3470,体験,自分,1,1,0.005405405405405406,1,0.005405405405405406,1.0
1740,y=(1/2)x+3,変形,1,1,0.005405405405405406,1,0.005405405405405406,1.0
1743,x-2y+6=0,y=(1/2)x+3,1,1,0.005405405405405406,1,0.005405405405405406,1.0
1776,解,連立二元一次方程式,2,2,0.010810810810810811,2,0.010810810810810811,1.0
1822,割合,増加量,1,1,0.005405405405405406,1,0.005405405405405406,1.0
1850,x1,y1,1,1,0.005405405405405406,1,0.005405405405405406,1.0
1854,y1,y2,1,1,0.005405405405405406,1,0.005405405405405406,1.0
1862,x1,y2,1,1,0.005405405405405406,1,0.005405405405405406,1.0
3345,4倍,相似比,1,1,0.005405405405405406,1,0.005405405405405406,1.0
3344,相似比,面積比,1,1,0.005405405405405406,1,0.005405405405405406,1.0
1865,x1,x2,1,1,0.005405405405405406,1,0.005405405405405406,1.0
1882,x2,y2,1,1,0.005405405405405406,1,0.005405405405405406,1.0
1916,傾き,正,1,1,0.005405405405405406,1,0.005405405405405406,1.0
1136,手段,記録,1,1,0.005405405405405406,1,0.005405405405405406,1.0
1969,y座標,y軸,1,1,0.005405405405405406,1,0.005405405405405406,1.0
1970,x=0,y座標,1,1,0.005405405405405406,1,0.005405405405405406,1.0
1646,ak,k,1,1,0.005405405405405406,1,0.005405405405405406,1.0
1169,全体,連続,1,1,0.005405405405405406,1,0.005405405405405406,1.0
1173,全体,把握,1,1,0.005405405405405406,1,0.005405405405405406,1.0
1361,円,半径,3,3,0.016216216216216217,3,0.016216216216216217,1.0
1261,教科,関連,1,1,0.005405405405405406,1,0.005405405405405406,1.0
1340,l,周の長さ,1,1,0.005405405405405406,1,0.005405405405405406,1.0
1349,l=2πr,周の長さ,1,1,0.005405405405405406,1,0.005405405405405406,1.0
739,O,一意的,1,1,0.005405405405405406,1,0.005405405405405406,1.0
1214,数学的表現,漸次,1,1,0.005405405405405406,1,0.005405405405405406,1.0
1358,l,l=2πr,1,1,0.005405405405405406,1,0.005405405405405406,1.0
728,一意的,直交,1,1,0.005405405405405406,1,0.005405405405405406,1.0
1177,把握,連続,1,1,0.005405405405405406,1,0.005405405405405406,1.0
721,O,直交,1,1,0.005405405405405406,1,0.005405405405405406,1.0
1396,S,S=πr^2,2,2,0.010810810810810811,2,0.010810810810810811,1.0
1440,単純,理想,5,5,0.02702702702702703,5,0.02702702702702703,1.0
1468,未知,状況,1,1,0.005405405405405406,1,0.005405405405405406,1.0
1528,制約,適用,1,1,0.005405405405405406,1,0.005405405405405406,1.0
3365,4倍,面積比,1,1,0.005405405405405406,1,0.005405405405405406,1.0
1121,手段,整理,1,1,0.005405405405405406,1,0.005405405405405406,1.0
1857,x2,y1,1,1,0.005405405405405406,1,0.005405405405405406,1.0
917,能率,電卓,1,1,0.005405405405405406,1,0.005405405405405406,1.0
3327,公式,相似比,1,1,0.005405405405405406,1,0.005405405405405406,1.0
6,技能,知識,3,3,0.016216216216216217,3,0.016216216216216217,1.0
3329,公式,面積比,1,1,0.005405405405405406,1,0.005405405405405406,1.0
1117,整理,記録,1,1,0.005405405405405406,1,0.005405405405405406,1.0
918,利用,能率,1,1,0.005405405405405406,1,0.005405405405405406,1.0
1038,定義,視点,1,1,0.005405405405405406,1,0.005405405405405406,1.0
3,事項,数学的活動,3,3,0.016216216216216217,3,0.016216216216216217,1.0
1993,x=0,y軸,1,1,0.005405405405405406,1,0.005405405405405406,1.0
3330,4倍,公式,1,1,0.005405405405405406,1,0.005405405405405406,1.0
923,利用,電卓,1,1,0.005405405405405406,1,0.005405405405405406,1.0
399,x,y,20,21,0.11351351351351352,22,0.11891891891891893,0.8695652173913043
562,2倍,3倍,4,5,0.02702702702702703,4,0.021621621621621623,0.8
109,問題,解決,3,4,0.021621621621621623,3,0.016216216216216217,0.75
1075,検討,比較,3,3,0.016216216216216217,4,0.021621621621621623,0.75
25,判断,思考,3,4,0.021621621621621623,3,0.016216216216216217,0.75
212,一方,他方,6,8,0.043243243243243246,6,0.032432432432432434,0.75
1385,S=πr^2,円,2,2,0.010810810810810811,3,0.016216216216216217,0.6666666666666666
1386,S,円,2,2,0.010810810810810811,3,0.016216216216216217,0.6666666666666666
2152,時間,水温,2,3,0.016216216216216217,2,0.010810810810810811,0.6666666666666666
1401,S,半径,2,2,0.010810810810810811,3,0.016216216216216217,0.6666666666666666
644,xy=a,y=a/x,2,2,0.010810810810810811,3,0.016216216216216217,0.6666666666666666
2317,原因,検討,2,2,0.010810810810810811,3,0.016216216216216217,0.6666666666666666
2314,工夫,検討,2,2,0.010810810810810811,3,0.016216216216216217,0.6666666666666666
2332,原因,活動,2,2,0.010810810810810811,3,0.016216216216216217,0.6666666666666666
1303,r,円,2,2,0.010810810810810811,3,0.016216216216216217,0.6666666666666666
2329,工夫,活動,2,2,0.010810810810810811,3,0.016216216216216217,0.6666666666666666
1306,r,半径,2,2,0.010810810810810811,3,0.016216216216216217,0.6666666666666666
625,y/x=a,y=ax,2,2,0.010810810810810811,3,0.016216216216216217,0.6666666666666666
1394,S=πr^2,半径,2,2,0.010810810810810811,3,0.016216216216216217,0.6666666666666666
2,反比例,比例,36,38,0.20540540540540542,56,0.3027027027027027,0.6206896551724138
1222,適切,選択,3,5,0.02702702702702703,3,0.016216216216216217,0.6
1314,2倍,円,3,5,0.02702702702702703,3,0.016216216216216217,0.6
668,位置,平面,3,3,0.016216216216216217,5,0.02702702702702703,0.6
1317,2倍,半径,3,5,0.02702702702702703,3,0.016216216216216217,0.6
39,変化,対応,26,32,0.17297297297297298,38,0.20540540540540542,0.5909090909090909
661,a,定数,8,11,0.05945945945945946,11,0.05945945945945946,0.5714285714285714
43,特徴,表,26,30,0.16216216216216217,43,0.23243243243243245,0.5531914893617021
56,事象,具体,21,37,0.2,23,0.12432432432432433,0.5384615384615384
22,グラフ,表,33,55,0.2972972972972973,43,0.23243243243243245,0.5076923076923077
2924,形,車,1,1,0.005405405405405406,2,0.010810810810810811,0.5
2923,形,身近,1,1,0.005405405405405406,2,0.010810810810810811,0.5
2623,料金,物,1,1,0.005405405405405406,2,0.010810810810810811,0.5
2921,制動距離,形,1,2,0.010810810810810811,1,0.005405405405405406,0.5
1192,厳密,簡潔,1,2,0.010810810810810811,1,0.005405405405405406,0.5
1250,理科,関連,1,2,0.010810810810810811,1,0.005405405405405406,0.5
1252,教科,理科,1,1,0.005405405405405406,2,0.010810810810810811,0.5
2600,困難,郵便,1,2,0.010810810810810811,1,0.005405405405405406,0.5
2593,物,郵便,1,2,0.010810810810810811,1,0.005405405405405406,0.5
2622,交通,物,1,1,0.005405405405405406,2,0.010810810810810811,0.5
