,w1,w2,freq,w1_freq,w1_ratio,w2_freq,w2_ratio,jaccard
3354,4倍,公式,1,1,0.00273224043715847,1,0.00273224043715847,1.0
5360,デシベル,等星,1,1,0.00273224043715847,1,0.00273224043715847,1.0
5314,規模,音,1,1,0.00273224043715847,1,0.00273224043715847,1.0
5316,単位,音,1,1,0.00273224043715847,1,0.00273224043715847,1.0
5317,等星,音,1,1,0.00273224043715847,1,0.00273224043715847,1.0
5319,尺度,音,1,1,0.00273224043715847,1,0.00273224043715847,1.0
5320,地震,音,1,1,0.00273224043715847,1,0.00273224043715847,1.0
5321,デシベル,音,1,1,0.00273224043715847,1,0.00273224043715847,1.0
5322,星,音,1,1,0.00273224043715847,1,0.00273224043715847,1.0
5323,マグニチュード,音,1,1,0.00273224043715847,1,0.00273224043715847,1.0
5335,単位,規模,1,1,0.00273224043715847,1,0.00273224043715847,1.0
5336,等星,規模,1,1,0.00273224043715847,1,0.00273224043715847,1.0
5338,尺度,規模,1,1,0.00273224043715847,1,0.00273224043715847,1.0
5339,地震,規模,1,1,0.00273224043715847,1,0.00273224043715847,1.0
5340,デシベル,規模,1,1,0.00273224043715847,1,0.00273224043715847,1.0
5341,星,規模,1,1,0.00273224043715847,1,0.00273224043715847,1.0
5342,マグニチュード,規模,1,1,0.00273224043715847,1,0.00273224043715847,1.0
5350,単位,等星,1,1,0.00273224043715847,1,0.00273224043715847,1.0
5352,単位,尺度,1,1,0.00273224043715847,1,0.00273224043715847,1.0
5353,単位,地震,1,1,0.00273224043715847,1,0.00273224043715847,1.0
5354,デシベル,単位,1,1,0.00273224043715847,1,0.00273224043715847,1.0
5355,単位,星,1,1,0.00273224043715847,1,0.00273224043715847,1.0
5356,マグニチュード,単位,1,1,0.00273224043715847,1,0.00273224043715847,1.0
351,独立変数,順序,1,1,0.00273224043715847,1,0.00273224043715847,1.0
5358,尺度,等星,1,1,0.00273224043715847,1,0.00273224043715847,1.0
5312,マグニチュード,人間,1,1,0.00273224043715847,1,0.00273224043715847,1.0
5311,人間,星,1,1,0.00273224043715847,1,0.00273224043715847,1.0
5310,デシベル,人間,1,1,0.00273224043715847,1,0.00273224043715847,1.0
5284,増殖,崩壊,1,1,0.00273224043715847,1,0.00273224043715847,1.0
5263,バクテリア,自然現象,1,1,0.00273224043715847,1,0.00273224043715847,1.0
5264,増殖,自然現象,1,1,0.00273224043715847,1,0.00273224043715847,1.0
5267,崩壊,放射性物質,1,1,0.00273224043715847,1,0.00273224043715847,1.0
5268,放射性物質,生成,1,1,0.00273224043715847,1,0.00273224043715847,1.0
5269,放射性物質,減衰,1,1,0.00273224043715847,1,0.00273224043715847,1.0
5271,バクテリア,放射性物質,1,1,0.00273224043715847,1,0.00273224043715847,1.0
5272,増殖,放射性物質,1,1,0.00273224043715847,1,0.00273224043715847,1.0
5280,崩壊,生成,1,1,0.00273224043715847,1,0.00273224043715847,1.0
5281,崩壊,減衰,1,1,0.00273224043715847,1,0.00273224043715847,1.0
5283,バクテリア,崩壊,1,1,0.00273224043715847,1,0.00273224043715847,1.0
5286,減衰,生成,1,1,0.00273224043715847,1,0.00273224043715847,1.0
5309,人間,地震,1,1,0.00273224043715847,1,0.00273224043715847,1.0
5288,バクテリア,生成,1,1,0.00273224043715847,1,0.00273224043715847,1.0
5289,増殖,生成,1,1,0.00273224043715847,1,0.00273224043715847,1.0
5292,バクテリア,減衰,1,1,0.00273224043715847,1,0.00273224043715847,1.0
5293,増殖,減衰,1,1,0.00273224043715847,1,0.00273224043715847,1.0
5298,バクテリア,増殖,1,1,0.00273224043715847,1,0.00273224043715847,1.0
5301,人間,音,1,1,0.00273224043715847,1,0.00273224043715847,1.0
5303,人間,規模,1,1,0.00273224043715847,1,0.00273224043715847,1.0
5305,人間,単位,1,1,0.00273224043715847,1,0.00273224043715847,1.0
5306,人間,等星,1,1,0.00273224043715847,1,0.00273224043715847,1.0
5308,人間,尺度,1,1,0.00273224043715847,1,0.00273224043715847,1.0
5359,地震,等星,1,1,0.00273224043715847,1,0.00273224043715847,1.0
5361,星,等星,1,1,0.00273224043715847,1,0.00273224043715847,1.0
2413,n,多角形,1,1,0.00273224043715847,1,0.00273224043715847,1.0
5362,マグニチュード,等星,1,1,0.00273224043715847,1,0.00273224043715847,1.0
2761,符号,絶対値,1,1,0.00273224043715847,1,0.00273224043715847,1.0
2758,方向,絶対値,1,1,0.00273224043715847,1,0.00273224043715847,1.0
5543,正弦,正接,3,3,0.00819672131147541,3,0.00819672131147541,1.0
2683,態度,身の回り,1,1,0.00273224043715847,1,0.00273224043715847,1.0
5656,弧の長さ,扇形,1,1,0.00273224043715847,1,0.00273224043715847,1.0
2663,経験,身の回り,1,1,0.00273224043715847,1,0.00273224043715847,1.0
2662,態度,経験,1,1,0.00273224043715847,1,0.00273224043715847,1.0
2629,仕組み,郵便,1,1,0.00273224043715847,1,0.00273224043715847,1.0
2622,交通,仕組み,1,1,0.00273224043715847,1,0.00273224043715847,1.0
2615,交通,郵便,1,1,0.00273224043715847,1,0.00273224043715847,1.0
2604,仕組み,機関,1,1,0.00273224043715847,1,0.00273224043715847,1.0
2597,機関,郵便,1,1,0.00273224043715847,1,0.00273224043715847,1.0
2596,交通,機関,1,1,0.00273224043715847,1,0.00273224043715847,1.0
2587,仕組み,料金,1,1,0.00273224043715847,1,0.00273224043715847,1.0
2580,料金,郵便,1,1,0.00273224043715847,1,0.00273224043715847,1.0
2579,交通,料金,1,1,0.00273224043715847,1,0.00273224043715847,1.0
2576,料金,機関,1,1,0.00273224043715847,1,0.00273224043715847,1.0
5889,以上,回転,2,2,0.00546448087431694,2,0.00546448087431694,1.0
5893,一定時間,観覧車,1,1,0.00273224043715847,1,0.00273224043715847,1.0
2452,実感,広がり,2,2,0.00546448087431694,2,0.00546448087431694,1.0
